### name | cross-section | sum of weights | efficiency | k-factor
data|1|1|1|1
mc20_13TeV.364302.Sherpa_222_NNPDF30NNLO_ggZllZqq|0.92331|249323|0.1415400|1
mc20_13TeV.364303.Sherpa_222_NNPDF30NNLO_ggZvvZqq|0.92488|248884|0.2802353|1
mc20_13TeV.364304.Sherpa_222_NNPDF30NNLO_ggWmlvWpqq|0.62194|72487.3|1|1
mc20_13TeV.364305.Sherpa_222_NNPDF30NNLO_ggWplvWmqq|0.62186|76791.8|1|1
mc20_13TeV.410155.aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_ttW|0.54828|4.10209e+06|1|1.096
mc20_13TeV.410156.aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_ttZnunu|0.15504|230694|1|1.11
mc20_13TeV.410157.aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_ttZqq|0.52821|1.5808e+06|1|1.11
mc20_13TeV.410218.aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_ttee|0.036864|51901.9|1|1.12
mc20_13TeV.410219.aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_ttmumu|0.036865|51976.5|1|1.12
mc20_13TeV.410220.aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_tttautau|0.036555|34153.4|1|1.12
mc20_13TeV.410470.PhPy8EG_A14_ttbar_hdamp258p75_nonallhad|729.77|8.29356e+10|0.5438225|1.13975636159
mc20_13TeV.410471.PhPy8EG_A14_ttbar_hdamp258p75_allhad|729.77|1.26845e+10|0.4562069|1.13974074379
mc20_13TeV.410472.PhPy8EG_A14_ttbar_hdamp258p75_dil|729.77|4.20575e+10|0.1054559|1.13975636159
mc20_13TeV.410644.PowhegPythia8EvtGen_A14_singletop_schan_lept_top|2.0267|4.05637e+06|1|1.0170
mc20_13TeV.410645.PowhegPythia8EvtGen_A14_singletop_schan_lept_antitop|1.2675|2.53797e+06|1|1.0167
mc20_13TeV.410646.PowhegPythia8EvtGen_A14_Wt_DR_inclusive_top|37.935|3.79094e+08|1|0.9450
mc20_13TeV.410647.PowhegPythia8EvtGen_A14_Wt_DR_inclusive_antitop|37.905|3.78689e+08|1|0.9457
mc20_13TeV.410648.PowhegPythia8EvtGen_A14_Wt_DR_dilepton_top|3.9970|3.95914e+06|1|0.9451
mc20_13TeV.410649.PowhegPythia8EvtGen_A14_Wt_DR_dilepton_antitop|3.9939|3.99637e+06|1|0.9458
mc20_13TeV.410658.PhPy8EG_A14_tchan_BW50_lept_top|36.995|9.21701e+08|1|1.1935
mc20_13TeV.410659.PhPy8EG_A14_tchan_BW50_lept_antitop|22.173|5.53788e+08|1|1.1849
mc20_13TeV.601352.PhPy8EG_tW_dyn_DR_incl_antitop|35.972|3.5917e+08|1|1
mc20_13TeV.601353.PhPy8EG_tW_dyn_DR_dil_antitop|3.7901|3.78447e+07|1|1
mc20_13TeV.601354.PhPy8EG_tW_dyn_DR_dil_top|3.7935|3.78781e+07|1|1
mc20_13TeV.601355.PhPy8EG_tW_dyn_DR_incl_top|36.003|3.59161e+08|1|1
mc20_13TeV.700320.Sh_2211_Zee_maxHTpTV2_BFilter|2221.2|1.65146e+14|0.02493594|1
mc20_13TeV.700321.Sh_2211_Zee_maxHTpTV2_CFilterBVeto|2221.2|8.66434e+14|0.1298145|1
